id,name,album,release_date,popularity,groovy_factor,raw_energy
0kesmP5jKuavoUDwuoMG3l,Tops - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,41,0.42768599999999996,0.052567708049999995
6GpoY3iuHJY7fcyonia60B,Tumbling Dice,Honk (Deluxe),2019-04-19,41,0.48557900000000004,0.24155860291666664
0mynYmSfl8q2KhjSp96G3w,Stray Cat Blues - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,41,0.14937199999999998,0.06544561275
19c71wg1nEvMUtuaQc992j,"Laugh, I Nearly Died - Remastered",A Bigger Bang (2009 Re-Mastered),2005-09-05,41,0.21400799999999998,0.0498278248
0rucXTNGt4BHpAjNR5d0UF,Happy,Exile On Main Street (2010 Re-Mastered),1972-05-12,41,0.535575,0.45299420920000005
0mobySzkSudnm0PdUcOSWq,Love In Vain - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),1969-12-05,41,0.108664,0.045377424300000004
744hdHz3CORMz3FcU230C4,Memory Motel - Remastered,Black And Blue (Remastered 2009),1976-04-23,41,0.13566,0.0836535
2aBM9gLAhJgaUIo7HVZ75j,(I Can't Get No) Satisfaction - Saturday Club / 1965,On Air (Deluxe),2017-12-01,41,0.49973,0.04861360232000001
2aQHcpFfrUoTc9CtxPGotZ,Living In A Ghost Town,Honk (Deluxe),2019-04-19,41,0.526904,0.07869413446666666
0EJCZM5mVoJjA1MxcoZE6O,Hate To See You Go,Blue & Lonesome,2016-12-02,41,0.157168,0.11046543959999998
4uhJps8XVlPZbdI5ZArAUO,You Gotta Move - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,41,0.24759599999999998,0.05518094506666666
2FkBzncOXWo7pnN8oqm7Wx,Let's Spend The Night Together,Flowers,1967-06-26,41,0.32375199999999993,0.17236931625000002
4GOpMcPnnF9mtHNYgUPep6,Citadel - Remastered 2017 / Stereo,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),1967-12-08,41,0.151164,0.050923615600000006
5rBS5AlKXpdb3tJJ2D8QdW,Hot Stuff - Remastered 2009,Black And Blue (Remastered 2009),1976-04-23,41,0.671376,0.04415808
3NDEunNz7GMb6SkkPYTvd2,Casino Boogie,Exile On Main Street (2010 Re-Mastered),1972-05-12,40,0.30793,0.18232484149999997
6zD3VBPn2VNDdmLEg0coPt,Country Honk,Let It Bleed,1969-12-05,40,0.47152800000000006,0.2176028712
6bSFXLeYbyVR9jGvcRz6vW,Dance (pt 1) - Remastered,Emotional Rescue (2009 Re-Mastered),1980-06-20,40,0.6623,0.04534384443333333
60OdLDvZpHe4kVDYwNtYh9,Sweet Black Angel,Exile On Main Street (2010 Re-Mastered),1972-05-12,40,0.303282,0.0727743016
2h7OfDcrNaHnhHLR9uEnhA,When The Whip Comes Down - Remastered,Some Girls,1978-06-09,40,0.416665,0.27129191826666665
08l7M5UpRnffGl0FyuRiQZ,Carol,The Rolling Stones,1964-04-16,39,0.450622,0.2555957808
02Y7UtZLh7SbhYsYG5N7Rr,Worried About You - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,39,0.160072,0.0486956421
32wMZselVhTIaaE3F9txyJ,One Hit (To The Body) - Remastered,Dirty Work (Remastered 2009),1986-03-24,39,0.35745999999999994,0.6215920842666666
4EPtqZQeTpMTAzFey8wCIa,2000 Light Years From Home - Stereo / Remastered,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),1967-12-08,39,0.095425,0.08598652300000001
6Urmnpk6flfh0lp9HH3bOS,Rain Fall Down - Remastered 2009,A Bigger Bang (2009 Re-Mastered),2005-09-05,39,0.3255,0.08087594319999998
0JuW3zVUYjyW5BbtXq2to6,I Am Waiting,Aftermath,1966-04-15,39,0.38051999999999997,0.024798906
0QT1jprS8mepNiTNvdVblv,Start Me Up - Remastered 2021,Tattoo You (Super Deluxe),2021-10-22,39,0.517815,0.06941087234
31YMV7aMItO8jzyc10iRrS,Live With Me,Let It Bleed,1969-12-05,39,0.649674,0.044734683920000004
3hloNY7y2r53Cm3zkR7kZV,Stupid Girl,Aftermath,1966-04-15,39,0.626682,0.09768980213333332
4cAlWy0jWMtn5AdtZy4dHi,Before They Make Me Run - Remastered,Some Girls,1978-06-09,39,0.42483,0.045916399999999996
6NtmoPmjG21kb1JfoiMMXJ,Star Star - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,39,0.42431499999999994,0.3166933458333333
7AjHtyU0aLwdqb68uzwRlh,Everybody Needs Somebody To Love - Long Version,The Rolling Stones No. 2,1965-01-15,38,0.41896500000000003,0.07147698506666665
5BquOJwWEEJMGqXsUNWjHu,Winter - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,38,0.20825700000000003,0.09531418423333334
09eg3FGzsZQbZk8qEXhJIA,Stop Breaking Down,Exile On Main Street (2010 Re-Mastered),1972-05-12,38,0.47502000000000005,0.09216749025
64cSND3LNJY0GeK2zy0QLJ,Thru and Thru - Remastered,Voodoo Lounge (Remastered 2009),1994-07-11,38,0.073726,0.022883197933333335
6dP2cO6pcgyf5XwvDaubQa,Time Waits For No One,It's Only Rock 'N' Roll,1974-10-18,38,0.44037300000000007,0.015794418229999996
3hOyB6eLLjeadJD3rIodMd,Let It Bleed - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),1969-12-05,38,0.47600000000000003,0.10359941666666667
7B3B9tt6XJQdch3DrbvWC4,Monkey Man - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),1969-12-05,38,0.207249,0.05534629348
5FTPD9wSP9IjYBeivNE7cU,Salt Of The Earth - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,38,0.141985,0.09762624269999999
3s8JGHAZvZKYUPknCIIkJC,Slipping Away - Remastered,Steel Wheels (Remastered 2009),1989-08-29,38,0.34619200000000006,0.28840099799999996
7aZB40a3Zydggr8wJf1lhO,Rock And A Hard Place,Steel Wheels (Remastered 2009),1989-08-29,38,0.516672,0.08000411220999999
4JUEYZ2yBfHsB1W9yhJmDF,Streets Of Love,Honk (Deluxe),2019-04-19,38,0.09855,0.30063816120000003
4wa7EsaCIc31OoedVvkVz6,No Use In Crying - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,38,0.274752,0.06451606525
0EUuG4wkH0vykpWQJxbDtl,Moonlight Mile - 2009 Mix,Sticky Fingers (Deluxe),1971-04-23,38,0.10049699999999999,0.04551835
5XXw0UOmMFf919EXBB6hfI,Brown Sugar,Sticky Fingers (Deluxe),1971-04-23,38,0.33442500000000003,0.302750808
0t1YlU41vKgWiw3CVVuRbH,Hand Of Fate - Remastered,Black And Blue (Remastered 2009),1976-04-23,38,0.44144,0.1907019039
0qjCCEKR7Ct3hshyCES99R,Baby Please Don't Go - Live,Live At The Checkerboard Lounge,2012-07-09,37,0.220269,0.7399337815999999
2BPuGATHtSHLud79E6tOQm,Blinded By Rainbows - Remastered,Voodoo Lounge (Remastered 2009),1994-07-11,37,0.086652,0.04728473973333334
0Wqhgufw1YY63QivQfNUtD,Start Me Up - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,2004-11-01,37,0.23569,0.9315100246666665
3oxqLl1TcDNYgAaAxct3jK,Dear Doctor - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,37,0.254888,0.0554565167
4FzDrD5KndBVrFaVwZToen,Jigsaw Puzzle - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,37,0.31529,0.040006322066666676
0ZlNwlXfDUh8gxdUOXuc2F,"Son Of A Preacher Man - Live From Madison Square Garden, New York/1969",Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,37,0.369782,0.30449063590000003
294YjFlURvve9qm23KZCqP,Prodigal Son - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,37,0.0588126,0.064832608
2t95lca5RT63G2J988AorQ,Parachute Woman - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,37,0.435441,0.092578248
5DZPlkknHAi3JxcpMFlJ69,Factory Girl - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,37,0.198021,0.054954284
7faybsF8gIVvWtAp9hUcI2,Soul Survivor,Exile On Main Street (2010 Re-Mastered),1972-05-12,37,0.17692500000000003,0.24557456733333335
3vSXV46H3bSmJHX79NV9Zu,Scarlet,Goats Head Soup (Deluxe),2020-09-04,37,0.310408,0.2254023576
7hDQerpfE5FgYtVKEVemwl,Lies - Remastered,Some Girls,1978-06-09,37,0.21506599999999998,0.5990731061333333
7wSVa5dSpjM62zrF0WsMVQ,Turd On The Run,Exile On Main Street (2010 Re-Mastered),1972-05-12,37,0.383614,0.23822413450000005
