id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1nBufEoW7UXvQWgqmNl6Kx,0.17,0.431,0.94,0.00155,0.315,-5.868,0.0775,166.156,0.759
3075GFD8j1WFyF1pUGbAuh,0.00507,0.612,0.603,0.134,0.18,-12.08,0.0438,133.038,0.606
5hFOnphtpYkLqWHWl8TaIH,0.408,0.545,0.757,0.045,0.16,-5.228,0.0396,152.217,0.714
1OBlQXdm2yQ2AjtpDhM7yc,0.0577,0.564,0.664,0.0154,0.213,-11.224,0.0487,134.068,0.868
5lgfWxatYUKXvQEE1oTGDE,0.673,0.462,0.261,0.629,0.126,-14.986,0.0545,168.166,0.405
3VGzWMIxl4zuArW043WSGf,0.0163,0.587,0.833,0.581,0.851,-7.331,0.0683,112.5,0.748
6EF89xJ4zsFB5tSX8pEHeX,0.00794,0.461,0.726,0.427,0.473,-5.138,0.0285,111.117,0.522
3thuVspq7oLlgDE7d7HTqz,0.502,0.477,0.74,1.31e-06,0.263,-5.397,0.0446,107.384,0.56
1m8cwYJxSWNGxscZQOzQ7F,0.0639,0.485,0.943,0.179,0.144,-4.423,0.0416,141.982,0.889
0mxvBDxJNhrMEsfzAaegBJ,0.00186,0.444,0.58,0.0118,0.0813,-9.02,0.0278,96.489,0.52
1pfyDm9tBBrAx7AWhKyxDs,0.551,0.566,0.47,2.57e-05,0.1,-8.819,0.0281,73.026,0.203
5IecDZiCvdqeN28NdEJbYs,0.23,0.425,0.734,2.77e-05,0.627,-4.226,0.0318,80.472,0.34
0YsBmhlgivhVxWytwq0As4,0.00648,0.46,0.961,0.182,0.27,-4.254,0.0817,152.776,0.893
1o1pQLvKMNqkeLYWGrlA4d,0.562,0.564,0.924,0.649,0.403,-3.585,0.0345,106.022,0.903
08rR0CdyUAzJy3053xCPPG,0.0193,0.63,0.873,0.0312,0.506,-10.619,0.0886,122.868,0.474
3sMReRRurYwYGmxuj9e0G5,0.569,0.656,0.71,0.0,0.0794,-9.275,0.0982,125.869,0.667
4IYLtXulpQFydiTxLI23rf,0.672,0.531,0.777,8.06e-06,0.308,-10.516,0.0504,121.11,0.864
31vgSRfK5YOGSCAfj6zPAS,0.283,0.373,0.834,0.769,0.235,-5.49,0.0366,100.54,0.486
3ZQimDj4LetbHs2ry5jAQr,0.0784,0.533,0.781,0.000273,0.063,-4.602,0.0316,118.316,0.815
1OIkKo1avOfiSteUOZgGUd,0.319,0.695,0.753,0.000685,0.0624,-5.164,0.0388,85.184,0.798
4XV6J85XfaHAAhzrkNgT6T,0.0672,0.66,0.839,0.307,0.074,-8.056,0.0344,122.592,0.968
1Lu761pZ0dBTGpzxaQoZNW,0.416,0.386,0.969,0.4,0.956,-4.936,0.115,130.066,0.313
3AaXHBFpwXWmtg3kcfuwhQ,0.145,0.534,0.52,0.000466,0.368,-10.743,0.0366,116.855,0.816
3dLnl0OKTxQcRZlGcJzorK,0.469,0.579,0.872,0.00286,0.087,-3.102,0.0795,120.033,0.505
6GVgVJBKkGJoRfarYRvGTU,0.437,0.326,0.965,0.233,0.961,-4.803,0.0759,131.455,0.318
10IdU8PgujnWOe33sWQipV,0.823,0.523,0.56,1.89e-06,0.204,-10.781,0.0286,104.582,0.504
53PIJiUe4MeUitcD4QyiTu,0.164,0.835,0.421,0.00307,0.028,-8.484,0.0787,144.024,0.963
0gv2zGg14osumqPJ4Axr5u,0.416,0.531,0.946,0.0,0.95,-5.249,0.0485,136.485,0.768
5Z7Xad6ghivPVONXAJFcst,0.686,0.644,0.824,3.06e-05,0.577,-11.15,0.0512,135.595,0.822
0oXnmfo2kW3joSeiXoazdV,0.0784,0.181,0.873,0.0,0.764,-6.143,0.0638,203.238,0.367
7j96wehhMtN0fkVvFhD8Ix,0.219,0.657,0.825,0.845,0.354,-8.94,0.098,126.817,0.582
0rXRaTZ8jtbYbgSdx88vpm,0.185,0.58,0.981,0.0464,0.992,-3.5,0.081,121.229,0.628
