name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Sway - 2009 Mix,Sticky Fingers (Deluxe),1971-04-23,2TgVLVuBUBp8Dc6tER4mg4,0.221,0.33,0.895,0.737,0.408,-3.435,0.0399,144.945,0.54,26,232533,False,instrumentalness
Not Fade Away - Live / Remastered 2009,Stripped,1995-01-13,4gh4tTzfOgaZI13ksyESSR,0.141,0.665,0.799,0.485,0.43,-8.92,0.0301,95.451,0.969,26,186293,False,instrumentalness
Rip This Joint - Live At The El Mocambo 1977,Live At The El Mocambo,2022-05-13,6QtxrobAYG2mMfM9LcW6Y4,0.0293,0.437,0.948,0.756,0.976,-5.321,0.0943,116.343,0.727,25,131133,False,instrumentalness
Gomper - Remastered 2017 / Stereo,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),1967-12-08,34Kgv4n8fsGyjylmg3jUx0,0.756,0.36,0.595,0.618,0.144,-10.074,0.0337,134.097,0.273,25,308746,False,instrumentalness
Honky Tonk Women - Live,Get Yer Ya-Ya's Out! (Remastered),1970-09-04,4vGmdNInQ0n8oNIKn0HR0l,0.0398,0.412,0.787,0.49,0.735,-8.142,0.0505,114.076,0.802,25,214293,False,instrumentalness
It's Only Rock 'N' Roll - Live,Licked Live In NYC,2022-06-10,1Wkbdv5UDv3slS34WWJOAN,0.675,0.378,0.986,0.621,0.971,-5.232,0.0833,140.253,0.436,25,303960,False,instrumentalness
Jumpin Jack Flash - Live,Licked Live In NYC,2022-06-10,7p0sTErcMXc1jJ2Ff4QlcT,0.313,0.192,0.964,0.538,0.968,-4.264,0.0609,138.005,0.191,25,370733,False,instrumentalness
Brown Sugar - Live,Licked Live In NYC,2022-06-10,2JMQKVRanp4auj0hGkw3GE,0.439,0.34,0.989,0.722,0.982,-4.734,0.108,139.361,0.164,25,337600,False,instrumentalness
Criss Cross,Goats Head Soup (Deluxe),2020-09-04,6HHfGbvGKx0ny7NMR1HIHL,0.0145,0.555,0.94,0.628,0.057,-4.232,0.0762,131.951,0.668,25,272346,False,instrumentalness
Coming Down Again - 2020,Goats Head Soup (Deluxe),2020-09-04,5Pk7w1nimgJlH5Rcd2nfNQ,0.76,0.483,0.397,0.519,0.111,-8.76,0.0308,71.902,0.384,25,354173,False,instrumentalness
Brown Sugar - Live / Remastered 2009,Flashpoint,1991-04-02,1lAlkGvyolKaqCEz6LRcPg,0.0188,0.428,0.991,0.61,0.953,-2.198,0.0783,141.86,0.577,25,249626,False,instrumentalness
Little Queenie - Live,Get Yer Ya-Ya's Out! (Remastered),1970-09-04,0ZpY0O8eE3HWy3i9of01gg,0.151,0.495,0.811,0.785,0.66,-6.879,0.0392,126.69,0.964,24,273266,False,instrumentalness
Miss You - Live,Some Girls: Live In Texas '78,2011-11-21,69qKu7HJBpFMESIciFgVcg,0.00252,0.47,0.949,0.475,0.93,-5.673,0.045,117.158,0.829,24,515559,False,instrumentalness
Hide Your Love - 2020,Goats Head Soup (Deluxe),2020-09-04,3HA10vklRF61I5B1906K6d,0.691,0.537,0.707,0.785,0.132,-4.873,0.0291,110.06,0.771,24,251826,False,instrumentalness
Silver Train - 2020,Goats Head Soup (Deluxe),2020-09-04,0t3FSBpEMhJCDWnARnNVnw,0.138,0.425,0.919,0.793,0.566,-2.684,0.0365,147.821,0.883,24,266266,False,instrumentalness
Sway - 2009 Mix,Sticky Fingers (Super Deluxe),1971-04-23,3pT6IfDS1kcOn4CHT1PE7q,0.221,0.33,0.895,0.737,0.408,-3.435,0.0399,144.945,0.54,24,232533,False,instrumentalness
One More Shot,Honk (Deluxe),2019-04-19,6HSMR3g3RNfIDUymhFSYiq,0.000158,0.568,0.938,0.664,0.0579,-4.737,0.0361,122.804,0.684,24,182839,False,instrumentalness
Title 5,Exile On Main Street (Deluxe Version),1972-05-12,0L9upeBPGyAEVtJTeMS0NZ,0.473,0.466,0.831,0.831,0.322,-7.849,0.0343,95.548,0.885,24,107426,False,instrumentalness
Susie Q,The Rolling Stones No. 2,1965-01-15,7qOLXYcFU9PVezyEUDJUug,0.0404,0.509,0.753,0.822,0.169,-9.249,0.0328,80.8,0.968,23,110986,False,instrumentalness
