name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Street Fighting Man - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,095WtNlSHE8TMB2gQ1fdTx,0.000128,0.273,0.866,0.79,0.961,-7.598,0.0347,134.891,0.501,23,246413,False,instrumentalness
Street Fighting Man - Live,Get Yer Ya-Ya's Out! (Remastered),1970-09-04,12jHGLXB0CsORLG0LECw9g,0.000129,0.273,0.866,0.784,0.962,-7.598,0.0346,134.906,0.513,23,244413,False,instrumentalness
Stupid Girl,Aftermath (UK Version),1966-04-15,1KNAcsfbvGvUyRepqrO2QM,0.188,0.7,0.811,0.55,0.256,-11.837,0.0589,130.895,0.891,23,174760,True,instrumentalness
Under My Thumb - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),2021-10-22,6bfEROTTedGsYPKzg6Agkq,0.178,0.374,0.954,0.908,0.988,-7.062,0.0766,140.934,0.582,22,233786,False,instrumentalness
Route 66 - Live,December’s Children (And Everybody’s),1965-12-04,6z0Yz6aGF4NNyAGSAZbED9,0.0271,0.38,0.965,0.895,0.397,-6.457,0.0744,85.183,0.483,22,159280,False,instrumentalness
Oh Baby (We Got A Good Thing Goin') - Remastered 2002,"The Rolling Stones, Now!",1965-02-13,2Dt8ceipgqRsDxln0aV83Q,0.466,0.634,0.758,0.743,0.882,-8.689,0.0302,141.559,0.965,22,128039,False,instrumentalness
Start Me Up - Live,A Bigger Bang (Live),2021-07-09,1SBaSJ0M9qs2S4Rv0wkzaV,0.333,0.431,0.983,0.798,0.921,-3.722,0.0856,130.594,0.365,22,244853,False,instrumentalness
"(I Can't Get No) Satisfaction - Live From Madison Square Garden, New York/1969",Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1970-09-04,7i0GRg4OOImfw5DDGka9mP,0.000298,0.437,0.911,0.64,0.966,-6.859,0.0372,144.338,0.885,22,340626,False,instrumentalness
Street Fighting Man - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,2004-11-01,4Gb2izWLauOK4jQF3s1b8C,0.0664,0.232,0.991,0.639,0.979,-2.749,0.138,144.031,0.178,22,223466,False,instrumentalness
The Boudoir Stomp,Jamming With Edward,1972-01-07,66ViZwmer5nrWGOraKP5zH,0.432,0.62,0.591,0.91,0.102,-12.908,0.0583,132.329,0.812,22,315852,False,instrumentalness
Blow With Ry,Jamming With Edward,1972-01-07,72djY4kbSGzDFGPJrIOs2T,0.469,0.576,0.605,0.635,0.119,-12.491,0.0595,90.374,0.712,22,667918,False,instrumentalness
Hide Your Love - Alternate Mix,Goats Head Soup (Deluxe),2020-09-04,5OTjZmoUjbiPN4org0pp9G,0.173,0.441,0.823,0.75,0.244,-5.4,0.053,108.276,0.689,21,317733,False,instrumentalness
All The Way Down - Remastered,Undercover (2009 Re-Mastered),1983-11-07,01fNwidwuko3gFvAhHKrZ6,0.21,0.572,0.949,0.776,0.398,-4.83,0.0801,142.84,0.806,21,193333,False,instrumentalness
Down Home Girl,"The Rolling Stones, Now!",1965-02-13,5BF1UHpSK96JdztJdZbHrr,0.594,0.664,0.786,0.633,0.1,-8.21,0.0269,115.791,0.856,21,251733,False,instrumentalness
The Spider And The Fly - Yeah Yeah / 1965,On Air (Deluxe),2017-12-01,49Js7VXTW5zl07AdwltJ7Z,0.0301,0.683,0.633,0.782,0.109,-10.846,0.109,111.757,0.892,21,194160,False,instrumentalness
